!mjd_obs        !mean_dy        
!---------------!---------------
 56659.3891191   1.308
 56660.460783    1.862
 56660.4693129   1.549
 56664.3910591   0.035
 56667.4097735   -3.33
 56667.4891358   -2.858
 56667.4976778   -3.417
 56672.4413665   3.539
 56674.404316    4.192
 56674.4128554   3.3
 56675.4324536   3.387
 56681.4718568   4.482
 56681.480374    3.638
 56684.4606971   4.031
 56685.4982538   5.04
 56688.4741234   3.029
 56688.4826411   2.139
 56689.4579663   3.724
 56692.4616236   2.189
 56694.5179677   4.701
 56695.5131548   4.641
 56695.5216571   3.649
 56697.4674575   4.367
 56702.4713107   4.688
 56702.4798398   3.765
 56703.449875    3.823
 56709.493431    4.546
 56709.5019461   3.67
 56712.5268285   3.562
 56715.491939    4.298
 56716.4879618   4.422
 56716.4964879   3.522
 56716.5352162   3.584
 56721.5333469   3.766
 56723.4997123   4.359
 56723.5082526   3.626
 56724.4765633   1.853
 56727.6107028   2.051
 56728.5099859   2.269
 56730.5077912   3.432
 56730.5163042   2.549
 56737.5098161   4.964
 56737.5183659   4.089
 56737.7322403   4.733
 56737.7489214   1.92
 56737.7499658   3.851
 56744.4971205   3.229
 56744.5056343   2.23
 56745.4874215   2.255
 56749.5291681   3.964
 56751.4944893   4.33
 56751.5030115   3.722
 56758.5097895   5.148
 56759.5090442   3.765
 56759.7569365   3.524
 56762.5546255   3.697
 56765.535515    4.91
 56765.544065    4.078
 56765.5788876   3.97
 56768.5365346   3.82
 56769.6229032   4.065
 56772.522546    4.689
 56772.5310923   3.932
 56772.595535    3.861
 56775.4786068   3.965
 56779.5089191   4.268
 56779.5174374   3.354
 56779.5697304   3.285
 56782.5048036   1.099
 56785.7200859   1.083
 56786.5022942   4.623
 56786.5108135   3.745
 56789.5052829   3.889
 56789.6906597   3.81
 56792.4846619   3.717
 56793.5387855   4.675
 56793.5473247   3.828
 56803.5144531   1.986
 56803.5229764   0.985
 56803.62104     0.57
 56806.5415455   3.863
 56809.5477608   3.424
 56810.5420496   2.701
 56810.5507809   1.233
 56812.5685606   3.678
 56817.5061681   2.244
 56817.514669    1.274
 56824.4720775   2.28
 56824.4805738   1.389
 56826.7491501   1.433
 56831.5424701   2.81
 56831.5509618   1.981
 56831.6121253   1.951
 56833.502004    -0.062
 56834.4745153   1.927
 56838.54157     4.281
 56838.5500593   3.716
 56839.5899353   3.734
 56845.5335951   4.022
 56845.5422667   3.043
 56848.5344085   3.702
 56852.5412034   4.225
 56852.5496988   3.126
 56858.5345911   3.726
 56859.5304456   4.909
 56859.5389124   4.013
 56861.4994909   3.788
 56865.4683345   2.437
 56866.5309948   3.311
 56866.53966     2.374
 56868.5273431   1.997
 56873.5307669   3.023
 56873.5392736   2.176
 56874.5152699   3.481
 56874.5239533   2.673
 56874.5966166   2.551
 56875.5458834   3.691
 56875.5543852   2.912
 56879.4911194   2.609
 56882.5142095   3.777
 56882.5227507   2.872
 56882.5627022   2.776
 56885.5123872   2.953
 56889.5043909   3.599
 56889.5129167   2.811
 56890.4940817   2.815
 56896.4992482   4.114
 56896.5077847   3.383
 56896.5486458   4.03
 56897.4771831   3.325
 56901.4886676   3.196
 56903.5074742   3.854
 56903.5159625   3.226
 56906.600074    2.076
 56910.5180024   3.842
 56910.5265224   2.875
 56914.3896777   3.937
 56915.4272025   2.249
 56917.4444364   3.599
 56917.453071    2.725
 56920.4879851   3.122
 56921.5766235   2.371
 56923.4820581   3.975
 56924.5121292   3.778
 56924.5250903   3.237
 56925.4184647   3.009
 56926.5011773   3.68
 56927.4292227   4.158
 56927.5219908   3.114
 56929.4844158   3.69
 56931.4806801   3.687
 56931.4893083   3.187
 56931.5262631   3.045
 56936.5301732   3.234
 56936.5403036   2.448
 56938.489035    3.436
 56938.4975058   2.615
 56939.4687397   2.677
 56940.4773064   3.446
 56942.4471034   2.024
 56943.4567064   3.177
 56945.499761    2.797
 56945.5082595   2.466
 56949.4801355   2.847
 56952.4197907   3.236
 56952.4283071   2.429
 56954.4699499   0.497
 56954.4719797   2.507
 56958.456881    2.687
 56959.4887947   3.501
 56959.4972997   2.94
 56959.5346124   3.54
 56965.4438801   3.47
 56965.4540652   2.701
 56966.4779464   2.987
 56966.4864573   2.734
 56973.4780406   3.627
 56973.4865455   2.97
 56977.4374256   2.763
 56978.4054953   2.714
 56980.4461138   3.833
 56980.4546085   2.883
 56982.3114065   0.751
 56983.4332641   3.405
 56983.4444889   2.633
 56987.3881244   2.811
 56987.4669421   3.63
 56987.4754629   2.699
 56994.4582047   2.893
 56994.4667107   2.306
 56994.500477    1.645
 56999.4464678   2.136
 57001.4072983   3.283
 57001.4157947   2.555
 57001.4458104   3.265
 57003.4109964   2.312
 57004.4094281   2.514
 57005.4059963   2.724
 57005.4913815   3.347
 57008.4497929   3.52
 57008.4585479   2.418
 57010.3968682   2.435
 57012.4501927   3.612
 57013.4531749   2.692
 57015.4314553   1.768
 57015.5224806   3.387
 57015.5310001   2.589
 57018.4380109   2.335
 57022.454963    3.308
 57022.4634752   2.557
 57024.3971667   2.566
 57025.4165435   2.563
 57029.4714712   2.973
 57029.479996    2.37
 57035.4480935   2.259
 57036.4167758   3.308
 57036.4252928   2.381
 57036.4591855   3.045
 57042.4468512   3.09
 57043.49561     2.964
 57043.5041458   2.268
 57047.4725867   2.405
 57050.4401831   3.318
 57050.4486709   2.659
 57051.4796629   2.157
 57052.2961943   2.91
 57057.4879273   2.871
 57057.4964408   2.147
 57057.5455253   2.161
 57061.3882202   0.12
 57064.4217299   3.091
 57064.4302186   2.334
 57065.5185343   3.119
 57065.5287097   2.438
 57069.4709853   3.713
 57069.4823008   3.215
 57071.484359    3.303
 57071.4928872   2.452
 57072.4373017   3.428
 57072.4474925   2.875
 57076.4319032   2.565
 57078.4788526   2.918
 57078.4873549   2.352
 57079.7946356   3.193
 57079.8137352   2.484
 57080.4725365   3.264
 57087.5344413   2.371
 57092.531137    2.571
 57092.5396484   1.767
 57093.4988761   1.977
 57097.4028914   0.277
 57099.5129394   3.205
 57099.521467    2.573
 57110.391951    2.88
 57111.5134363   3.949
 57111.5219521   2.96
 57118.506685    -2.166
 57118.5152269   -2.632
 57118.5924215   -1.876
 57118.6017679   -2.477
 57119.4991687   -2.124
 57120.1704256   -2.305
 57125.5218873   1.041
 57125.5304023   0.677
 57125.5888814   0.675
 57126.488314    2.169
 57128.4993964   1.96
 57132.5151801   2.277
 57132.5237015   1.834
 57136.4671317   1.928
 57139.4394817   1.811
 57139.4480023   1.292
 57140.3389841   1.083
 57142.5006129   1.741
 57146.5021369   2.366
 57146.5106541   1.926
 57146.5721419   2.399
 57157.5598637   2.799
 57157.5701724   2.443
 57160.5324333   1.877
 57161.5066325   2.751
 57163.5205733   2.03
 57163.529081    1.512
 57164.499567    1.693
 57166.5349407   2.846
 57167.4363515   1.903
 57169.4976348   2.181
 57170.5145471   2.64
 57170.5230564   1.942
 57172.5078771   2.778
 57175.6376998   1.525
 57176.4960283   2.095
 57177.554071    1.872
 57177.5625775   1.162
 57184.5523594   2.658
 57184.5608785   2.092
 57185.5390646   2.535
 57191.5125436   2.986
 57191.5210745   2.297
 57191.5726875   3.119
 57192.5273739   1.902
 57192.5863272   2.0
 57195.518708    2.318
 57198.546335    3.049
 57198.5548942   2.354
 57199.5679029   2.926
 57199.5770666   2.22
 57202.4530898   0.476
 57203.5366563   3.511
 57203.5603714   2.779
 57205.7845284   3.421
 57205.7930293   2.655
 57206.4989613   3.648
 57206.5092554   2.935
 57212.5562838   2.966
 57212.5650623   2.188
 57216.5418873   2.797
 57219.5288853   3.217
 57219.5374784   2.404
 57220.5452525   2.269
 57223.5516439   3.149
 57223.5762416   2.337
 57226.545904    3.185
 57226.5543933   2.462
 57229.5272857   2.489
 57229.5357658   1.781
 57229.5819415   1.838
 57234.5173542   3.248
 57236.6006621   2.907
 57236.6091564   2.199
 57244.7521923   2.789
 57244.7607829   2.074
 57246.6110392   2.074
 57250.4001313   2.973
 57250.4086287   2.195
 57250.4429716   3.112
 57251.3135455   3.654
 57251.3240562   2.918
 57255.588993    3.408
 57255.5981337   2.627
 57257.5313131   3.092
 57257.539832    2.401
 57258.5135124   2.662
 57258.5148935   0.642
 57259.5009754   0.743
 57260.5740665   0.789
 57261.5212309   -0.121
 57264.5501762   2.307
 57264.5589664   1.762
 57271.4932757   3.365
 57271.5021281   2.793
 57272.495424    3.421
 57276.4687299   3.258
 57278.5641529   2.884
 57278.5726872   2.152
 57283.4872847   2.987
 57285.5031935   3.183
 57285.5119754   2.64
 57292.4710111   3.212
 57292.4795369   2.494
 57292.5670604   3.197
 57295.5057872   3.5
 57298.4740286   2.233
 57299.4804356   2.853
 57299.4893385   2.057
 57300.1748521   2.302
 57300.191392    1.77
 57306.5593181   3.255
 57306.5680496   2.4
 57310.4998097   2.659
 57311.4692474   2.352
 57321.4698996   3.108
 57321.4783916   2.353
 57327.5012503   2.947
 57328.4542165   3.934
 57328.4627104   2.842
 57329.4007176   3.563
 57331.1444056   2.596
 57331.1612821   1.747
 57335.4412364   2.627
 57335.4497639   2.216
 57336.4559838   2.258
 57340.4528431   2.634
 57340.4764352   1.814
 57342.4664272   3.166
 57342.4749134   1.731
 57343.452342    2.472
 57347.450607    3.291
 57349.438995    3.505
 57349.4475117   2.582
 57356.4548519   9.195
 57356.4633644   7.34
 57363.4465253   4.508
 57363.4550256   2.894
 57370.4499586   4.324
 57370.4587341   2.474
 57377.4500192   3.852
 57377.458486    2.499
 57377.5688993   2.592
 57378.4353247   4.392
 57380.4239216   1.739
 57384.4694845   4.062
 57384.4779816   2.414
 57391.4653341   3.533
 57391.473833    1.719
 57398.4468815   3.92
 57398.4553664   2.23
 57399.4569523   2.825
 57405.4909045   3.783
 57405.4993885   2.186
 57412.4983366   3.932
 57412.5068121   2.089
 57419.5145024   4.021
 57419.5230204   2.356
 57423.4489482   2.384
 57426.5128808   4.127
 57426.5213951   2.544
 57431.4781418   -0.226
 57433.4976644   3.471
 57433.5061617   1.917
 57439.5321321   4.278
 57440.4896357   4.649
 57440.4981351   2.932
 57440.8377456   2.555
 57442.4256084   0.658
 57454.4954029   -1.888
 57454.5254041   -3.689
 57454.5789371   -2.17
 57461.4971721   -2.042
 57461.5056616   -3.639
 57464.4925428   -3.885
