!mjd_obs        !mean_dy        
!---------------!---------------
 56659.3891191   2.468
 56660.460783    2.884
 56660.4693129   2.558
 56664.3910591   2.379
 56667.4097735   -2.131
 56667.4891358   -1.788
 56667.4976778   -2.248
 56672.4413665   4.004
 56674.404316    4.653
 56674.4128554   3.726
 56675.4324536   3.838
 56681.4718568   5.05
 56681.480374    4.044
 56684.4606971   4.025
 56685.4982538   5.183
 56688.4741234   4.524
 56688.4826411   3.509
 56689.4579663   3.711
 56692.4616236   3.605
 56694.5179677   4.886
 56695.5131548   4.77
 56695.5216571   3.786
 56697.4674575   4.554
 56702.4713107   4.885
 56702.4798398   3.931
 56703.449875    3.827
 56709.493431    4.74
 56709.5019461   3.897
 56712.5268285   3.75
 56715.491939    4.466
 56716.4879618   4.712
 56716.4964879   3.671
 56716.5352162   3.695
 56721.5333469   3.873
 56723.4997123   4.724
 56723.5082526   3.725
 56724.4765633   3.518
 56727.6107028   3.71
 56728.5099859   3.756
 56730.5077912   4.788
 56730.5163042   3.944
 56737.5098161   5.19
 56737.5183659   4.162
 56737.7322403   4.895
 56737.7489214   6.361
 56737.7499658   3.968
 56744.4971205   4.956
 56744.5056343   4.074
 56745.4874215   4.114
 56749.5291681   3.971
 56751.4944893   4.637
 56751.5030115   3.747
 56758.5097895   5.28
 56759.5090442   3.874
 56759.7569365   3.694
 56762.5546255   3.892
 56765.535515    5.168
 56765.544065    4.103
 56765.5788876   4.0
 56768.5365346   3.903
 56769.6229032   4.139
 56772.522546    4.897
 56772.5310923   3.947
 56772.595535    3.921
 56775.4786068   4.096
 56779.5089191   4.363
 56779.5174374   3.38
 56779.5697304   3.431
 56782.5048036   3.023
 56785.7200859   3.127
 56786.5022942   4.787
 56786.5108135   3.92
 56789.5052829   3.76
 56789.6906597   3.796
 56792.4846619   3.757
 56793.5387855   4.877
 56793.5473247   3.799
 56803.5144531   3.64
 56803.5229764   2.573
 56803.62104     2.474
 56806.5415455   3.74
 56809.5477608   3.516
 56810.5420496   4.453
 56810.5507809   3.04
 56812.5685606   3.739
 56817.5061681   3.83
 56817.514669    2.996
 56824.4720775   4.196
 56824.4805738   3.24
 56826.7491501   3.52
 56831.5424701   4.472
 56831.5509618   3.752
 56831.6121253   3.797
 56833.502004    6.013
 56834.4745153   3.528
 56838.54157     4.482
 56838.5500593   3.634
