,spec_path,star_name,DATE-OBS,method
0,HD79186_2014-11-16T07:56:36_437nm_blue_O25.fits,HD79186,2014-11-16T07:56:36,optimal
1,HD79186_2014-11-16T07:56:36_860nm_redu_O6.fits,HD79186,2014-11-16T07:56:36,optimal
2,HD79186_2014-11-16T07:56:36_860nm_redl_O11.fits,HD79186,2014-11-16T07:56:36,optimal
3,HD79186_2014-11-16T07:56:36_860nm_redu_O5.fits,HD79186,2014-11-16T07:56:36,optimal
4,HD79186_2014-11-16T07:56:36_860nm_redu_O1.fits,HD79186,2014-11-16T07:56:36,optimal
5,HD79186_2014-11-16T07:56:36_860nm_redu_O13.fits,HD79186,2014-11-16T07:56:36,optimal
6,HD79186_2014-11-16T07:56:36_860nm_redl_O13.fits,HD79186,2014-11-16T07:56:36,optimal
7,HD79186_2014-11-16T07:56:36_437nm_blue_O26.fits,HD79186,2014-11-16T07:56:36,optimal
8,HD79186_2014-11-16T07:56:36_860nm_redl_O10.fits,HD79186,2014-11-16T07:56:36,optimal
9,HD79186_2014-11-16T07:56:36_437nm_blue_O2.fits,HD79186,2014-11-16T07:56:36,optimal
10,HD79186_2014-11-16T07:56:36_437nm_blue_O14.fits,HD79186,2014-11-16T07:56:36,optimal
11,HD79186_2014-11-16T07:56:36_437nm_blue_O6.fits,HD79186,2014-11-16T07:56:36,optimal
12,HD79186_2014-11-16T07:56:36_437nm_blue_O24.fits,HD79186,2014-11-16T07:56:36,optimal
13,HD79186_2014-11-16T07:56:36_437nm_blue_O3.fits,HD79186,2014-11-16T07:56:36,optimal
14,HD79186_2014-11-16T07:56:36_437nm_blue_O20.fits,HD79186,2014-11-16T07:56:36,optimal
15,HD79186_2014-11-16T07:56:36_437nm_blue_O23.fits,HD79186,2014-11-16T07:56:36,optimal
16,HD79186_2014-11-16T07:56:36_437nm_blue_O4.fits,HD79186,2014-11-16T07:56:36,optimal
17,HD79186_2014-11-16T07:56:36_860nm_redl_O8.fits,HD79186,2014-11-16T07:56:36,optimal
18,HD79186_2014-11-16T07:56:36_860nm_redl_O9.fits,HD79186,2014-11-16T07:56:36,optimal
19,HD79186_2014-11-16T07:56:36_860nm_redl_O15.fits,HD79186,2014-11-16T07:56:36,optimal
20,HD79186_2014-11-16T07:56:36_860nm_redl_O19.fits,HD79186,2014-11-16T07:56:36,optimal
21,HD79186_2014-11-16T07:56:36_860nm_redl_O2.fits,HD79186,2014-11-16T07:56:36,optimal
22,HD79186_2014-11-16T07:56:36_860nm_redl_O12.fits,HD79186,2014-11-16T07:56:36,optimal
23,HD79186_2014-11-16T07:56:36_437nm_blue_O30.fits,HD79186,2014-11-16T07:56:36,optimal
24,HD79186_2014-11-16T07:56:36_437nm_blue_O19.fits,HD79186,2014-11-16T07:56:36,optimal
25,HD79186_2014-11-16T07:56:36_437nm_blue_O15.fits,HD79186,2014-11-16T07:56:36,optimal
26,HD79186_2014-11-16T07:56:36_860nm_redl_O3.fits,HD79186,2014-11-16T07:56:36,optimal
27,HD79186_2014-11-16T07:56:36_437nm_blue_O22.fits,HD79186,2014-11-16T07:56:36,optimal
28,HD79186_2014-11-16T07:56:36_860nm_redu_O9.fits,HD79186,2014-11-16T07:56:36,optimal
29,HD79186_2014-11-16T07:56:36_437nm_blue_O5.fits,HD79186,2014-11-16T07:56:36,optimal
30,HD79186_2014-11-16T07:56:36_437nm_blue_O11.fits,HD79186,2014-11-16T07:56:36,optimal
31,HD79186_2014-11-16T07:56:36_437nm_blue_O7.fits,HD79186,2014-11-16T07:56:36,optimal
32,HD79186_2014-11-16T07:56:36_860nm_redl_O5.fits,HD79186,2014-11-16T07:56:36,optimal
33,HD79186_2014-11-16T07:56:36_860nm_redu_O10.fits,HD79186,2014-11-16T07:56:36,optimal
34,HD79186_2014-11-16T07:56:36_860nm_redu_O8.fits,HD79186,2014-11-16T07:56:36,optimal
35,HD79186_2014-11-16T07:56:36_860nm_redu_O2.fits,HD79186,2014-11-16T07:56:36,optimal
36,HD79186_2014-11-16T07:56:36_437nm_blue_O16.fits,HD79186,2014-11-16T07:56:36,optimal
37,HD79186_2014-11-16T07:56:36_437nm_blue_O8.fits,HD79186,2014-11-16T07:56:36,optimal
38,HD79186_2014-11-16T07:56:36_437nm_blue_O27.fits,HD79186,2014-11-16T07:56:36,optimal
39,HD79186_2014-11-16T07:56:36_437nm_blue_O29.fits,HD79186,2014-11-16T07:56:36,optimal
40,HD79186_2014-11-16T07:56:36_860nm_redl_O17.fits,HD79186,2014-11-16T07:56:36,optimal
41,HD79186_2014-11-16T07:56:36_860nm_redu_O3.fits,HD79186,2014-11-16T07:56:36,optimal
42,HD79186_2014-11-16T07:56:36_860nm_redl_O16.fits,HD79186,2014-11-16T07:56:36,optimal
43,HD79186_2014-11-16T07:56:36_860nm_redu_O11.fits,HD79186,2014-11-16T07:56:36,optimal
44,HD79186_2014-11-16T07:56:36_860nm_redl_O14.fits,HD79186,2014-11-16T07:56:36,optimal
45,HD79186_2014-11-16T07:56:36_860nm_redl_O1.fits,HD79186,2014-11-16T07:56:36,optimal
46,HD79186_2014-11-16T07:56:36_437nm_blue_O13.fits,HD79186,2014-11-16T07:56:36,optimal
47,HD79186_2014-11-16T07:56:36_437nm_blue_O17.fits,HD79186,2014-11-16T07:56:36,optimal
48,HD79186_2014-11-16T07:56:36_860nm_redl_O6.fits,HD79186,2014-11-16T07:56:36,optimal
49,HD79186_2014-11-16T07:56:36_860nm_redu_O7.fits,HD79186,2014-11-16T07:56:36,optimal
50,HD79186_2014-11-16T07:56:36_437nm_blue_O31.fits,HD79186,2014-11-16T07:56:36,optimal
51,HD79186_2014-11-16T07:56:36_437nm_blue_O28.fits,HD79186,2014-11-16T07:56:36,optimal
52,HD79186_2014-11-16T07:56:36_437nm_blue_O1.fits,HD79186,2014-11-16T07:56:36,optimal
53,HD79186_2014-11-16T07:56:36_860nm_redu_O12.fits,HD79186,2014-11-16T07:56:36,optimal
54,HD79186_2014-11-16T07:56:36_437nm_blue_O12.fits,HD79186,2014-11-16T07:56:36,optimal
55,HD79186_2014-11-16T07:56:36_860nm_redl_O4.fits,HD79186,2014-11-16T07:56:36,optimal
56,HD79186_2014-11-16T07:56:36_437nm_blue_O18.fits,HD79186,2014-11-16T07:56:36,optimal
57,HD79186_2014-11-16T07:56:36_860nm_redu_O4.fits,HD79186,2014-11-16T07:56:36,optimal
58,HD79186_2014-11-16T07:56:36_860nm_redl_O18.fits,HD79186,2014-11-16T07:56:36,optimal
59,HD79186_2014-11-16T07:56:36_860nm_redl_O7.fits,HD79186,2014-11-16T07:56:36,optimal
60,HD79186_2014-11-16T07:56:36_860nm_redl_O20.fits,HD79186,2014-11-16T07:56:36,optimal
61,HD79186_2014-11-16T07:56:36_437nm_blue_O9.fits,HD79186,2014-11-16T07:56:36,optimal
62,HD79186_2014-11-16T07:56:36_437nm_blue_O10.fits,HD79186,2014-11-16T07:56:36,optimal
63,HD79186_2014-11-16T07:56:36_437nm_blue_O21.fits,HD79186,2014-11-16T07:56:36,optimal
64,HD113904_2014-12-21T08:20:04_860nm_redu_O5.fits,HD113904,2014-12-21T08:20:04,optimal
65,HD113904_2014-12-21T08:20:04_437nm_blue_O30.fits,HD113904,2014-12-21T08:20:04,optimal
66,HD113904_2014-12-21T08:20:04_437nm_blue_O24.fits,HD113904,2014-12-21T08:20:04,optimal
67,HD113904_2014-12-21T08:20:04_860nm_redl_O15.fits,HD113904,2014-12-21T08:20:04,optimal
68,HD113904_2014-12-21T08:20:04_860nm_redl_O6.fits,HD113904,2014-12-21T08:20:04,optimal
69,HD113904_2014-12-21T08:20:04_437nm_blue_O1.fits,HD113904,2014-12-21T08:20:04,optimal
70,HD113904_2014-12-21T08:20:04_860nm_redl_O9.fits,HD113904,2014-12-21T08:20:04,optimal
71,HD113904_2014-12-21T08:20:04_860nm_redu_O9.fits,HD113904,2014-12-21T08:20:04,optimal
72,HD113904_2014-12-21T08:20:04_860nm_redu_O4.fits,HD113904,2014-12-21T08:20:04,optimal
73,HD113904_2014-12-21T08:20:04_860nm_redu_O1.fits,HD113904,2014-12-21T08:20:04,optimal
74,HD113904_2014-12-21T08:20:04_437nm_blue_O15.fits,HD113904,2014-12-21T08:20:04,optimal
75,HD113904_2014-12-21T08:20:04_437nm_blue_O9.fits,HD113904,2014-12-21T08:20:04,optimal
76,HD113904_2014-12-21T08:20:04_437nm_blue_O4.fits,HD113904,2014-12-21T08:20:04,optimal
77,HD113904_2014-12-21T08:20:04_437nm_blue_O28.fits,HD113904,2014-12-21T08:20:04,optimal
78,HD113904_2014-12-21T08:20:04_437nm_blue_O8.fits,HD113904,2014-12-21T08:20:04,optimal
79,HD113904_2014-12-21T08:20:04_437nm_blue_O16.fits,HD113904,2014-12-21T08:20:04,optimal
80,HD113904_2014-12-21T08:20:04_860nm_redu_O8.fits,HD113904,2014-12-21T08:20:04,optimal
81,HD113904_2014-12-21T08:20:04_860nm_redl_O5.fits,HD113904,2014-12-21T08:20:04,optimal
82,HD113904_2014-12-21T08:20:04_437nm_blue_O19.fits,HD113904,2014-12-21T08:20:04,optimal
83,HD113904_2014-12-21T08:20:04_860nm_redl_O18.fits,HD113904,2014-12-21T08:20:04,optimal
84,HD113904_2014-12-21T08:20:04_437nm_blue_O14.fits,HD113904,2014-12-21T08:20:04,optimal
85,HD113904_2014-12-21T08:20:04_437nm_blue_O17.fits,HD113904,2014-12-21T08:20:04,optimal
86,HD113904_2014-12-21T08:20:04_860nm_redl_O20.fits,HD113904,2014-12-21T08:20:04,optimal
87,HD113904_2014-12-21T08:20:04_860nm_redu_O13.fits,HD113904,2014-12-21T08:20:04,optimal
88,HD113904_2014-12-21T08:20:04_860nm_redl_O4.fits,HD113904,2014-12-21T08:20:04,optimal
89,HD113904_2014-12-21T08:20:04_860nm_redl_O7.fits,HD113904,2014-12-21T08:20:04,optimal
90,HD113904_2014-12-21T08:20:04_437nm_blue_O29.fits,HD113904,2014-12-21T08:20:04,optimal
91,HD113904_2014-12-21T08:20:04_437nm_blue_O23.fits,HD113904,2014-12-21T08:20:04,optimal
92,HD113904_2014-12-21T08:20:04_860nm_redu_O10.fits,HD113904,2014-12-21T08:20:04,optimal
93,HD113904_2014-12-21T08:20:04_437nm_blue_O7.fits,HD113904,2014-12-21T08:20:04,optimal
94,HD113904_2014-12-21T08:20:04_860nm_redl_O2.fits,HD113904,2014-12-21T08:20:04,optimal
95,HD113904_2014-12-21T08:20:04_437nm_blue_O12.fits,HD113904,2014-12-21T08:20:04,optimal
96,HD113904_2014-12-21T08:20:04_860nm_redl_O17.fits,HD113904,2014-12-21T08:20:04,optimal
97,HD113904_2014-12-21T08:20:04_437nm_blue_O18.fits,HD113904,2014-12-21T08:20:04,optimal
98,HD113904_2014-12-21T08:20:04_860nm_redu_O11.fits,HD113904,2014-12-21T08:20:04,optimal
99,HD113904_2014-12-21T08:20:04_860nm_redu_O3.fits,HD113904,2014-12-21T08:20:04,optimal
100,HD113904_2014-12-21T08:20:04_437nm_blue_O5.fits,HD113904,2014-12-21T08:20:04,optimal
101,HD113904_2014-12-21T08:20:04_437nm_blue_O20.fits,HD113904,2014-12-21T08:20:04,optimal
102,HD113904_2014-12-21T08:20:04_860nm_redl_O19.fits,HD113904,2014-12-21T08:20:04,optimal
103,HD113904_2014-12-21T08:20:04_860nm_redl_O8.fits,HD113904,2014-12-21T08:20:04,optimal
104,HD113904_2014-12-21T08:20:04_437nm_blue_O25.fits,HD113904,2014-12-21T08:20:04,optimal
105,HD113904_2014-12-21T08:20:04_860nm_redu_O6.fits,HD113904,2014-12-21T08:20:04,optimal
106,HD113904_2014-12-21T08:20:04_860nm_redu_O12.fits,HD113904,2014-12-21T08:20:04,optimal
107,HD113904_2014-12-21T08:20:04_860nm_redl_O16.fits,HD113904,2014-12-21T08:20:04,optimal
108,HD113904_2014-12-21T08:20:04_437nm_blue_O13.fits,HD113904,2014-12-21T08:20:04,optimal
109,HD113904_2014-12-21T08:20:04_437nm_blue_O2.fits,HD113904,2014-12-21T08:20:04,optimal
110,HD113904_2014-12-21T08:20:04_860nm_redl_O11.fits,HD113904,2014-12-21T08:20:04,optimal
111,HD113904_2014-12-21T08:20:04_860nm_redu_O2.fits,HD113904,2014-12-21T08:20:04,optimal
112,HD113904_2014-12-21T08:20:04_437nm_blue_O27.fits,HD113904,2014-12-21T08:20:04,optimal
113,HD113904_2014-12-21T08:20:04_860nm_redl_O10.fits,HD113904,2014-12-21T08:20:04,optimal
114,HD113904_2014-12-21T08:20:04_437nm_blue_O10.fits,HD113904,2014-12-21T08:20:04,optimal
115,HD113904_2014-12-21T08:20:04_437nm_blue_O21.fits,HD113904,2014-12-21T08:20:04,optimal
116,HD113904_2014-12-21T08:20:04_437nm_blue_O22.fits,HD113904,2014-12-21T08:20:04,optimal
117,HD113904_2014-12-21T08:20:04_860nm_redu_O7.fits,HD113904,2014-12-21T08:20:04,optimal
118,HD113904_2014-12-21T08:20:04_437nm_blue_O3.fits,HD113904,2014-12-21T08:20:04,optimal
119,HD113904_2014-12-21T08:20:04_860nm_redl_O12.fits,HD113904,2014-12-21T08:20:04,optimal
120,HD113904_2014-12-21T08:20:04_437nm_blue_O26.fits,HD113904,2014-12-21T08:20:04,optimal
121,HD113904_2014-12-21T08:20:04_437nm_blue_O6.fits,HD113904,2014-12-21T08:20:04,optimal
