,name,wave,ESO DPR TYPE,DATE-OBS,MJD-OBS,EXPTIME,flat_bin
0,UVES.2015-03-01T15:14:59.071.fits,346.0,"LAMP,FLAT",2015-03-01T15:14:59.071,57082.63540592,35.2018,1
1,UVES.2015-03-01T15:26:54.825.fits,346.0,"LAMP,FLAT",2015-03-01T15:26:54.824,57082.643690101,35.2018,1
2,UVES.2015-03-01T15:16:41.290.fits,346.0,"LAMP,FLAT",2015-03-01T15:16:41.290,57082.636589009,35.2018,1
3,UVES.2015-03-01T15:21:48.217.fits,346.0,"LAMP,FLAT",2015-03-01T15:21:48.217,57082.640141404,35.2017,1
4,UVES.2015-03-01T15:23:30.346.fits,346.0,"LAMP,FLAT",2015-03-01T15:23:30.346,57082.641323451,35.2017,1
5,UVES.2015-03-01T15:25:12.565.fits,346.0,"LAMP,FLAT",2015-03-01T15:25:12.565,57082.642506541,35.2017,1
6,UVES.2015-03-01T15:11:34.623.fits,346.0,"LAMP,FLAT",2015-03-01T15:11:34.623,57082.633039625,35.2016,1
7,UVES.2015-03-01T10:57:50.167.fits,346.0,"LAMP,FLAT",2015-03-01T10:57:50.166,57082.456830636,35.2016,1
8,UVES.2015-03-01T11:04:39.832.fits,346.0,"LAMP,FLAT",2015-03-01T11:04:39.832,57082.461572135,35.2016,1
9,UVES.2015-03-01T15:18:23.759.fits,346.0,"LAMP,FLAT",2015-03-01T15:18:23.759,57082.637774993,35.2015,1
10,UVES.2015-03-01T15:20:06.159.fits,346.0,"LAMP,FLAT",2015-03-01T15:20:06.158,57082.638960167,35.2015,1
11,UVES.2015-03-01T15:13:16.662.fits,346.0,"LAMP,FLAT",2015-03-01T15:13:16.662,57082.634220631,35.2015,1
12,UVES.2015-03-01T10:59:32.616.fits,346.0,"LAMP,FLAT",2015-03-01T10:59:32.615,57082.458016389,35.2015,1
13,UVES.2015-03-01T11:01:15.144.fits,346.0,"LAMP,FLAT",2015-03-01T11:01:15.144,57082.459203064,35.2015,1
14,UVES.2015-03-01T11:02:57.424.fits,346.0,"LAMP,FLAT",2015-03-01T11:02:57.423,57082.460386847,35.2013,1
15,UVES.2014-09-11T19:03:22.326.fits,346.0,"LAMP,FLAT",2014-09-11T19:03:22.325,56911.7940084,35.0014,1
16,UVES.2014-09-11T18:43:23.014.fits,346.0,"LAMP,FLAT",2014-09-11T18:43:23.014,56911.780127478,35.0013,1
17,UVES.2014-12-21T10:16:12.283.fits,346.0,"LAMP,FLAT",2014-12-21T10:16:12.282,57012.427919938,29.6322,1
18,UVES.2015-02-16T10:40:35.607.fits,346.0,"LAMP,FLAT",2015-02-16T10:40:35.607,57069.444856564,29.6321,1
19,UVES.2015-02-26T18:40:08.073.fits,346.0,"LAMP,FLAT",2015-02-26T18:40:08.072,57079.777871212,29.632,1
20,UVES.2015-02-16T10:38:58.869.fits,346.0,"LAMP,FLAT",2015-02-16T10:38:58.868,57069.443736906,29.632,1
21,UVES.2015-02-16T10:42:12.525.fits,346.0,"LAMP,FLAT",2015-02-16T10:42:12.525,57069.445978305,29.632,1
22,UVES.2015-01-30T06:31:20.944.fits,346.0,"LAMP,FLAT",2015-01-30T06:31:20.943,57052.271770179,29.632,1
23,UVES.2015-02-12T11:11:48.191.fits,346.0,"LAMP,FLAT",2015-02-12T11:11:48.190,57065.466529988,29.632,1
24,UVES.2015-02-26T18:36:54.435.fits,346.0,"LAMP,FLAT",2015-02-26T18:36:54.435,57079.775630045,29.632,1
25,UVES.2015-01-30T06:29:44.355.fits,346.0,"LAMP,FLAT",2015-01-30T06:29:44.354,57052.270652256,29.6319,1
26,UVES.2015-02-16T10:37:22.240.fits,346.0,"LAMP,FLAT",2015-02-16T10:37:22.240,57069.442618521,29.6319,1
27,UVES.2014-10-13T10:31:31.364.fits,346.0,"LAMP,FLAT",2014-10-13T10:31:31.363,56943.438557447,29.6319,1
28,UVES.2015-01-30T06:28:07.416.fits,346.0,"LAMP,FLAT",2015-01-30T06:28:07.416,57052.269530283,29.6319,1
29,UVES.2015-02-16T10:43:49.194.fits,346.0,"LAMP,FLAT",2015-02-16T10:43:49.193,57069.447097152,29.6319,1
30,UVES.2015-02-12T11:08:35.074.fits,346.0,"LAMP,FLAT",2015-02-12T11:08:35.073,57065.464294836,29.6318,1
31,UVES.2014-10-13T10:29:54.495.fits,346.0,"LAMP,FLAT",2014-10-13T10:29:54.494,56943.437436284,29.6318,1
32,UVES.2015-02-12T11:05:21.817.fits,346.0,"LAMP,FLAT",2015-02-12T11:05:21.816,57065.462058065,29.6318,1
33,UVES.2014-10-10T10:51:47.645.fits,346.0,"LAMP,FLAT",2014-10-10T10:51:47.644,56940.452634776,29.6318,1
34,UVES.2014-12-21T10:17:49.110.fits,346.0,"LAMP,FLAT",2014-12-21T10:17:49.110,57012.429040635,29.6318,1
35,UVES.2014-10-13T10:28:18.037.fits,346.0,"LAMP,FLAT",2014-10-13T10:28:18.036,56943.436319867,29.6318,1
36,UVES.2015-02-26T18:38:31.165.fits,346.0,"LAMP,FLAT",2015-02-26T18:38:31.164,57079.776749586,29.6318,1
37,UVES.2015-01-05T09:58:50.465.fits,346.0,"LAMP,FLAT",2015-01-05T09:58:50.464,57027.415861856,29.6318,1
38,UVES.2014-11-16T09:44:22.338.fits,346.0,"LAMP,FLAT",2014-11-16T09:44:22.338,56977.405814098,29.6317,1
39,UVES.2015-02-12T11:10:11.932.fits,346.0,"LAMP,FLAT",2015-02-12T11:10:11.932,57065.465415884,29.6317,1
40,UVES.2014-11-16T09:45:59.166.fits,346.0,"LAMP,FLAT",2014-11-16T09:45:59.166,56977.406934795,29.6317,1
41,UVES.2014-10-29T12:38:21.319.fits,346.0,"LAMP,FLAT",2014-10-29T12:38:21.319,56959.526635642,29.6317,1
42,UVES.2015-02-26T18:35:17.558.fits,346.0,"LAMP,FLAT",2015-02-26T18:35:17.557,57079.774508767,29.6317,1
43,UVES.2015-01-30T06:26:30.438.fits,346.0,"LAMP,FLAT",2015-01-30T06:26:30.437,57052.268407846,29.6317,1
44,UVES.2014-09-29T16:03:25.407.fits,346.0,"LAMP,FLAT",2014-09-29T16:03:25.406,56929.669044055,29.6317,1
45,UVES.2015-01-30T06:24:53.789.fits,346.0,"LAMP,FLAT",2015-01-30T06:24:53.789,57052.267289229,29.6317,1
46,UVES.2015-01-20T10:16:58.659.fits,346.0,"LAMP,FLAT",2015-01-20T10:16:58.658,57042.428456699,29.6317,1
47,UVES.2014-12-21T10:19:25.969.fits,346.0,"LAMP,FLAT",2014-12-21T10:19:25.969,57012.43016168,29.6317,1
48,UVES.2014-09-29T16:05:02.315.fits,346.0,"LAMP,FLAT",2014-09-29T16:05:02.314,56929.670165678,29.6317,1
49,UVES.2014-10-29T12:39:57.857.fits,346.0,"LAMP,FLAT",2014-10-29T12:39:57.857,56959.527752985,29.6317,1
50,UVES.2014-09-26T10:38:30.183.fits,346.0,"LAMP,FLAT",2014-09-26T10:38:30.183,56926.443404899,29.6316,1
51,UVES.2014-09-29T16:01:49.009.fits,346.0,"LAMP,FLAT",2014-09-29T16:01:49.008,56929.667928335,29.6316,1
52,UVES.2014-01-27T10:23:36.549.fits,346.0,"LAMP,FLAT",2014-01-27T10:23:36.549,56684.43306191,29.6316,1
53,UVES.2014-09-29T10:56:35.069.fits,346.0,"LAMP,FLAT",2014-09-29T10:56:35.069,56929.455961453,29.6316,1
54,UVES.2014-01-27T10:25:13.017.fits,346.0,"LAMP,FLAT",2014-01-27T10:25:13.017,56684.434178441,29.6316,1
55,UVES.2014-10-29T12:41:34.626.fits,346.0,"LAMP,FLAT",2014-10-29T12:41:34.626,56959.528872991,29.6316,1
56,UVES.2014-11-22T09:35:23.591.fits,346.0,"LAMP,FLAT",2014-11-22T09:35:23.590,56983.399578596,29.6316,1
57,UVES.2014-11-22T18:20:37.139.fits,346.0,"LAMP,FLAT",2014-11-22T18:20:37.139,56983.764318742,29.6316,1
58,UVES.2014-10-13T10:33:08.282.fits,346.0,"LAMP,FLAT",2014-10-13T10:33:08.281,56943.439679189,29.6316,1
59,UVES.2014-12-21T10:21:02.647.fits,346.0,"LAMP,FLAT",2014-12-21T10:21:02.647,57012.43128064,29.6316,1
