!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 56659.3719684   -5.421          0.009         
 56660.4287565   -6.836          -2.602        
 56660.4403382   -10.246         -0.336        
 56661.4385692   -5.776          0.044         
 56663.4409793   -5.659          -0.049        
 56664.3778235   -10.941         -0.245        
 56666.4433785   -6.64           -2.417        
 56666.4515462   -5.311          0.07          
 56667.3965392   -9.912          -0.382        
 56667.4570487   -6.224          -2.698        
 56667.4686364   -9.728          -0.327        
 56669.4196843   -6.502          -2.564        
 56672.4147532   -6.175          -2.622        
 56674.372612    -6.513          -2.592        
 56674.3841917   -9.781          -0.493        
 56675.3937715   -6.258          -2.627        
 56675.4019389   -9.605          -0.429        
 56681.4401064   -6.983          -2.619        
 56681.4516897   -10.433         -0.361        
 56684.428319    -6.521          -2.104        
 56684.4373223   -5.041          0.016         
 56685.4268432   -6.412          -2.212        
 56685.4497994   -9.936          -0.243        
 56687.4241686   -5.5            0.112         
 56688.4423658   -7.108          -2.059        
 56688.4539396   -10.488         -0.003        
 56689.4315638   -6.546          -2.257        
 56690.4276264   -5.228          0.033         
 56691.4254296   -5.406          0.049         
 56692.4375509   -7.291          -2.211        
 56694.4354918   -10.192         -0.36         
 56694.4366601   -5.227          0.076         
 56695.4539834   -6.671          -2.362        
 56695.4655716   -9.488          -0.38         
 56697.4425435   -5.091          0.044         
 56697.4434138   -10.008         -0.372        
 56700.4452944   -5.392          0.035         
 56702.4394325   -6.821          -2.352        
 56702.4511758   -10.427         -0.206        
 56703.4133895   -6.96           -2.235        
 56704.4289761   -5.269          0.072         
 56709.461521    -6.948          -2.251        
 56709.4731204   -10.204         -0.229        
 56712.4565665   -6.87           -2.411        
 56712.4657175   -5.234          -0.087        
 56714.4521917   -10.285         -0.258        
 56715.461111    -5.218          -0.042        
 56716.4562233   -6.833          -2.476        
 56716.4677988   -10.0           -0.255        
 56716.5221407   -6.995          -2.382        
 56718.5617162   -5.511          0.048         
 56721.4978032   -5.271          0.015         
 56721.4986729   -10.421         -0.109        
 56723.4679702   -6.8            -2.319        
 56723.4795817   -10.024         -0.199        
 56724.4654224   -5.671          -0.004        
 56724.4662932   -11.054         -0.215        
 56725.4453533   -7.28           -2.176        
 56727.4834584   -7.473          -2.175        
 56728.4851531   -7.459          -2.219        
 56729.4475269   -5.732          0.079         
 56729.4484039   -11.013         0.0           
 56730.4760306   -7.56           -2.101        
 56730.4876095   -10.484         0.018         
 56734.4464635   -5.881          0.022         
 56737.4693347   -6.734          -2.658        
 56737.4812187   -10.089         -0.454        
 56737.5764364   -3.595          -0.627        
 56737.5771792   -6.813          -2.606        
 56737.6052122   -10.059         -0.378        
 56737.6063729   -9.99           -0.123        
 56737.6071951   -10.079         -0.377        
 56737.6081642   -5.39           -0.028        
 56738.6004132   -3.396          -0.63         
 56738.6079781   -3.63           -1.279        
 56740.454032    -5.93           -0.078        
 56744.4650797   -7.72           -2.458        
 56744.476664    -11.106         -0.19         
 56744.5322295   -5.917          0.039         
 56745.4506345   -10.839         -0.09         
 56748.4248634   -5.387          0.014         
 56749.4600238   -6.67           -2.632        
 56749.4687739   -10.183         -0.384        
 56751.4625361   -6.318          -2.69         
 56751.4741151   -9.836          -0.668        
 56758.4778644   -7.357          -2.64         
 56758.4896136   -10.855         -0.248        
 56759.4541308   -5.466          -0.019        
 56759.455009    -10.261         -0.318        
 56762.5286285   -5.547          -0.099        
 56762.5295062   -10.535         -0.605        
 56763.4714055   -6.863          -2.654        
 56765.5037254   -6.497          -2.636        
 56765.5153286   -10.131         -0.441        
 56766.5024144   -5.384          -0.041        
 56768.4932551   -6.829          -2.802        
 56769.4740951   -5.565          -0.087        
 56769.4749733   -10.603         -0.539        
 56772.4907826   -6.964          -2.698        
 56772.5023456   -10.094         -0.455        
