!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 56659.3810745   0.409           -0.229        
 56659.3891191   1.308           -1.077        
 56660.460783    1.862           -1.507        
 56660.4693129   1.549           -1.186        
 56661.4767397   -0.36           -0.134        
 56663.4663735   -0.538          -0.198        
 56664.3910591   0.035           -1.181        
 56665.8835317   -2.517          -0.201        
 56666.4607555   -2.623          -0.277        
 56667.4097735   -3.33           -1.167        
 56667.4891358   -2.858          -1.328        
 56667.4976778   -3.417          -1.069        
 56672.4413665   3.539           1.364         
 56674.404316    4.192           1.113         
 56674.4128554   3.3             1.504         
 56675.4324536   3.387           1.4           
 56681.4718568   4.482           1.018         
 56681.480374    3.638           1.299         
 56684.4606971   4.031           1.435         
 56684.4620729   1.775           1.166         
 56685.4969845   2.086           1.119         
 56685.4982538   5.04            1.174         
 56688.4741234   3.029           1.25          
 56688.4826411   2.139           1.248         
 56688.5241951   1.16            1.105         
 56688.5277536   0.832           0.983         
 56689.4579663   3.724           1.055         
 56691.4335977   1.141           1.1           
 56692.4616236   2.189           1.076         
 56694.5169921   1.96            1.185         
 56694.5179677   4.701           1.088         
 56694.5399204   1.637           1.078         
 56695.5131548   4.641           1.195         
 56695.5216571   3.649           1.283         
 56697.4664758   1.804           0.95          
 56697.4674575   4.367           0.857         
 56700.4563629   1.951           1.269         
 56702.4713107   4.688           1.794         
 56702.4798398   3.765           1.711         
 56703.449875    3.823           1.608         
 56704.4439555   2.096           1.465         
 56709.493431    4.546           1.302         
 56709.5019461   3.67            1.707         
 56712.5072632   1.276           1.269         
 56712.5268285   3.562           1.531         
 56715.4909582   1.712           1.47          
 56715.491939    4.298           1.685         
 56716.4879618   4.422           1.631         
 56716.4964879   3.522           1.61          
 56716.5352162   3.584           1.678         
 56718.5767612   1.777           1.41          
 56721.525324    2.01            1.355         
 56721.5333469   3.766           1.683         
 56721.5347213   1.635           1.315         
 56723.4997123   4.359           1.775         
 56723.5082526   3.626           1.476         
 56724.4730285   1.075           1.339         
 56724.4765633   1.853           1.435         
 56727.6107028   2.051           1.63          
 56728.5099859   2.269           1.643         
 56729.4813665   1.327           1.392         
 56729.489409    0.953           1.23          
 56730.5077912   3.432           1.946         
 56730.5163042   2.549           1.664         
 56734.4620264   0.737           1.452         
 56737.5098161   4.964           1.759         
 56737.5183659   4.089           1.961         
 56737.7322403   4.733           1.872         
 56737.7339028   7.511           1.822         
 56737.7481153   2.411           0.642         
 56737.7489214   1.92            2.113         
 56737.7499658   3.851           2.175         
 56737.7513406   1.585           1.667         
 56740.4678267   0.855           1.477         
 56740.4758577   0.51            1.472         
 56744.4971205   3.229           1.868         
 56744.5056343   2.23            1.972         
 56744.5404637   1.168           1.508         
 56745.4874215   2.255           2.03          
 56746.4801953   0.849           1.593         
 56749.5291681   3.964           2.054         
 56750.4981976   1.675           1.608         
 56751.4944893   4.33            1.924         
 56751.5030115   3.722           2.024         
 56758.5097895   5.148           1.827         
 56759.5080615   1.622           1.607         
 56759.5090442   3.765           2.06          
 56759.7569365   3.524           2.13          
 56762.5536469   1.566           1.489         
 56762.5546255   3.697           1.871         
 56765.535515    4.91            1.731         
 56765.544065    4.078           2.061         
 56765.5788876   3.97            2.103         
 56766.5331439   1.612           1.63          
 56768.5365346   3.82            1.841         
 56769.6219191   1.669           1.571         
 56769.6229032   4.065           2.055         
 56771.4874437   1.063           1.531         
 56772.522546    4.689           1.916         
 56772.5310923   3.932           2.039         
 56772.5945606   1.581           1.609         
 56772.595535    3.861           2.172         
 56774.4849155   1.98            1.573         
 56775.4786068   3.965           2.132         
 56775.4799827   1.623           1.613         
 56777.5269702   0.968           1.501         
 56779.5089191   4.268           1.88          
 56779.5174374   3.354           2.068         
 56779.5697304   3.285           2.165         
 56779.5711014   1.375           1.615         
 56782.5048036   1.099           2.127         
 56782.5061847   0.296           1.567         
 56785.7200859   1.083           1.946         
 56786.5022942   4.623           1.69          
 56786.5108135   3.745           1.867         
 56786.5682732   1.549           1.517         
 56789.5043065   1.824           1.348         
 56789.5052829   3.889           1.726         
 56789.6896746   1.666           1.559         
 56789.6906597   3.81            2.055         
 56792.4846619   3.717           1.798         
 56793.5387855   4.675           1.691         
 56793.5473247   3.828           1.802         
 56803.5144531   1.986           1.691         
 56803.5229764   0.985           2.062         
 56803.62104     0.57            2.075         
 56803.6224191   0.028           1.678         
 56804.5135673   0.589           1.519         
 56806.5405664   1.605           1.528         
 56806.5415455   3.863           1.997         
 56808.5401459   1.877           1.46          
 56809.5477608   3.424           1.804         
 56810.5420496   2.701           1.621         
 56810.5507809   1.233           1.73          
 56811.4686362   0.43            1.504         
 56812.5685606   3.678           1.971         
 56813.5467166   0.889           1.469         
 56817.5061681   2.244           1.752         
 56817.514669    1.274           1.901         
 56824.4720775   2.28            1.681         
 56824.4805738   1.389           1.725         
 56826.7481735   0.451           1.463         
 56826.7491501   1.433           1.697         
 56828.5284373   1.493           1.458         
 56829.4982385   1.946           1.367         
 56831.5424701   2.81            1.485         
 56831.5509618   1.981           1.495         
 56831.6121253   1.951           1.803         
 56833.502004    -0.062          1.547         
 56833.503063    0.721           1.184         
 56834.4745153   1.927           1.602         
 56836.4780453   1.59            1.453         
 56837.5167876   1.697           1.414         
 56838.54157     4.281           1.389         
 56838.5500593   3.716           1.708         
 56839.5899353   3.734           1.813         
 56839.5913038   1.566           1.382         
 56842.4611593   1.085           0.766         
 56842.6317826   0.914           0.835         
 56842.6385143   0.581           1.359         
 56844.5185932   1.556           0.772         
 56845.5335951   4.022           1.487         
 56845.5422667   3.043           1.842         
 56845.585193    1.263           0.781         
 56846.5025478   1.424           1.461         
 56848.5344085   3.702           1.699         
 56850.4950803   1.573           1.388         
 56852.5412034   4.225           1.702         
 56852.5496988   3.126           1.738         
 56858.5345911   3.726           1.621         
 56858.5362476   1.548           1.423         
 56859.5304456   4.909           1.434         
 56859.5389124   4.013           1.685         
 56860.5334427   2.04            1.357         
 56860.6820635   1.862           1.395         
 56861.4994909   3.788           1.761         
 56861.5008621   1.667           1.387         
 56864.5416756   1.017           1.278         
 56865.4683345   2.437           1.623         
 56866.5309948   3.311           1.396         
 56866.53966     2.374           1.799         
 56868.5193056   1.015           1.373         
 56868.5273431   1.997           1.688         
 56868.5287267   0.705           1.434         
 56871.4902309   1.061           1.175         
 56872.4781288   0.866           1.331         
 56873.5307669   3.023           1.423         
 56873.5392736   2.176           1.731         
 56874.5152699   3.481           1.462         
 56874.5239533   2.673           1.613         
 56874.5874345   1.372           1.385         
 56874.5966166   2.551           1.449         
 56875.5458834   3.691           1.522         
 56875.5543852   2.912           1.545         
 56877.4974484   1.063           1.308         
 56878.5142783   1.461           1.276         
 56879.4911194   2.609           1.716         
 56882.5142095   3.777           1.43          
 56882.5227507   2.872           1.683         
 56882.5627022   2.776           1.68          
 56885.5043252   1.431           1.276         
 56885.5123872   2.953           1.676         
 56888.5007829   1.113           1.157         
 56889.5043909   3.599           1.363         
 56889.5129167   2.811           1.681         
 56889.5462051   1.387           1.303         
 56890.4940817   2.815           1.589         
 56893.5014741   1.331           1.284         
 56896.4992482   4.114           1.344         
 56896.5077847   3.383           1.528         
 56896.5486458   4.03            1.462         
 56897.4771831   3.325           1.694         
 56899.4816437   1.703           1.326         
 56901.4886676   3.196           1.511         
 56903.5074742   3.854           1.362         
 56903.5159625   3.226           1.634         
 56903.5657249   1.463           1.418         
 56906.5918799   1.483           1.279         
 56906.600074    2.076           1.38          
 56910.5180024   3.842           1.39          
 56910.5265224   2.875           1.547         
 56914.3896777   3.937           1.456         
 56915.4272025   2.249           1.529         
 56917.4444364   3.599           1.515         
 56917.453071    2.725           1.653         
 56919.4324271   1.287           1.248         
 56920.4879851   3.122           1.216         
 56921.5766235   2.371           1.687         
 56923.4820581   3.975           1.71          
 56924.5121292   3.778           1.91          
 56924.5250903   3.237           2.157         
 56925.4184647   3.009           1.899         
 56925.4975596   1.51            1.548         
 56925.5055924   1.247           1.504         
 56926.5011773   3.68            1.928         
 56927.4292227   4.158           1.781         
 56927.5139447   1.482           1.519         
 56927.5219908   3.114           1.909         
 56929.4834398   1.441           1.507         
 56929.4844158   3.69            1.698         
 56931.4806801   3.687           1.742         
 56931.4893083   3.187           1.943         
 56931.5262631   3.045           1.806         
 56936.5301732   3.234           1.778         
 56936.5403036   2.448           2.04          
 56936.5416788   0.927           1.562         
 56937.4354753   1.273           1.473         
 56938.489035    3.436           1.639         
 56938.4975058   2.615           1.904         
 56939.4687397   2.677           1.747         
 56940.4773064   3.446           1.764         
 56942.4471034   2.024           1.837         
 56943.4567064   3.177           1.509         
 56945.499761    2.797           1.339         
 56945.5082595   2.466           1.663         
 56949.4663995   1.415           1.436         
 56949.4801355   2.847           1.541         
 56951.4411552   0.993           1.36          
 56952.4197907   3.236           1.65          
 56952.4283071   2.429           1.751         
 56954.4699499   0.497           1.745         
 56954.4709958   0.927           1.526         
 56954.4719797   2.507           1.765         
 56956.4376725   1.304           1.37          
 56958.456881    2.687           1.704         
 56959.4887947   3.501           1.493         
 56959.4972997   2.94            1.562         
 56959.5346124   3.54            1.628         
 56965.4438801   3.47            1.491         
 56965.4540652   2.701           1.647         
 56966.4779464   2.987           1.221         
 56966.4864573   2.734           1.539         
 56973.4780406   3.627           1.315         
 56973.4865455   2.97            1.599         
 56977.4374256   2.763           1.564         
 56978.4054953   2.714           1.592         
 56978.4542817   1.28            1.359         
 56979.4506788   1.1             1.285         
 56980.4461138   3.833           1.5           
 56980.4546085   2.883           1.433         
 56981.4132532   1.528           1.323         
 56982.3114065   0.751           1.574         
 56983.4332641   3.405           1.472         
 56983.4444889   2.633           1.559         
 56984.4115127   1.37            1.217         
 56984.4198264   1.049           1.201         
 56987.3881244   2.811           1.554         
 56987.4669421   3.63            1.435         
 56987.4754629   2.699           1.574         
 56987.5113117   1.402           1.401         
 56990.4196971   1.259           1.373         
 56994.4582047   2.893           1.602         
 56994.4667107   2.306           1.576         
 56994.500477    1.645           1.303         
 56999.4381537   1.138           1.385         
 56999.4464678   2.136           1.401         
 57001.4072983   3.283           1.658         
 57001.4157947   2.555           1.49          
 57001.4458104   3.265           1.62          
 57003.4109964   2.312           1.449         
 57004.4094281   2.514           1.431         
 57005.4059963   2.724           1.481         
 57005.4913815   3.347           1.552         
 57008.4497929   3.52            1.316         
 57008.4585479   2.418           1.286         
 57010.3968682   2.435           1.429         
 57010.4574731   0.982           1.329         
 57012.4501927   3.612           1.494         
 57013.4531749   2.692           1.615         
 57015.4314553   1.768           1.318         
 57015.5224806   3.387           1.54          
 57015.5310001   2.589           1.506         
 57015.5711224   0.968           1.321         
 57018.4380109   2.335           1.359         
 57018.439387    0.839           1.278         
 57022.454963    3.308           1.257         
 57022.4634752   2.557           1.366         
 57024.3971667   2.566           1.295         
 57025.4165435   2.563           1.369         
 57029.4714712   2.973           1.313         
 57029.479996    2.37            1.289         
 57035.4480935   2.259           1.279         
 57036.4167758   3.308           1.473         
 57036.4252928   2.381           1.38          
 57036.4591855   3.045           1.521         
 57038.431946    0.841           1.28          
 57041.4333026   0.889           1.255         
 57042.4468512   3.09            1.337         
 57043.49561     2.964           1.403         
 57043.5041458   2.268           1.324         
 57047.4716058   0.913           1.308         
 57047.4725867   2.405           1.271         
 57050.4401831   3.318           1.385         
 57050.4486709   2.659           1.306         
 57051.4796629   2.157           1.449         
 57051.4810382   0.842           1.381         
 57052.2961943   2.91            1.434         
 57054.4605523   0.695           1.367         
 57057.4879273   2.871           1.271         
 57057.4964408   2.147           1.461         
 57057.5455253   2.161           1.464         
 57061.3882202   0.12            1.639         
 57064.4217299   3.091           1.288         
 57064.4302186   2.334           1.494         
 57065.5185343   3.119           1.395         
 57065.5287097   2.438           1.503         
 57069.4709853   3.713           1.366         
 57069.4813207   1.327           1.325         
 57069.4823008   3.215           1.684         
 57071.484359    3.303           1.342         
 57071.4928872   2.452           1.339         
 57072.4373017   3.428           1.251         
 57072.4474925   2.875           1.509         
 57076.4319032   2.565           1.456         
 57078.4788526   2.918           1.239         
 57078.4873549   2.352           1.636         
 57079.7946356   3.193           1.418         
 57079.8137352   2.484           1.557         
 57080.4725365   3.264           1.314         
 57087.5344413   2.371           1.495         
 57087.535821    0.882           1.33          
 57092.531137    2.571           1.394         
 57092.5396484   1.767           1.537         
 57093.4988761   1.977           1.19          
 57097.4028914   0.277           1.517         
 57099.5129394   3.205           1.49          
 57099.521467    2.573           1.521         
 57110.391951    2.88            1.464         
 57111.5134363   3.949           1.499         
 57111.5219521   2.96            1.844         
 57118.506685    -2.166          1.234         
 57118.5152269   -2.632          1.376         
 57118.5924215   -1.876          1.267         
 57118.6017679   -2.477          1.397         
 57118.6031357   -1.511          1.306         
 57119.4991687   -2.124          1.416         
 57120.1704256   -2.305          1.479         
 57124.4870086   -0.168          0.695         
 57125.5218873   1.041           0.336         
 57125.5304023   0.677           0.481         
 57125.5888814   0.675           0.731         
 57126.488314    2.169           0.424         
 57127.5073785   0.469           0.823         
 57128.4993964   1.96            0.636         
 57130.4730856   0.304           0.765         
 57132.5151801   2.277           0.5           
 57132.5237015   1.834           0.607         
 57133.486903    0.572           0.654         
 57136.4671317   1.928           0.497         
 57139.4394817   1.811           0.486         
 57139.4480023   1.292           0.618         
 57140.3389841   1.083           0.544         
 57142.5006129   1.741           0.396         
 57146.5021369   2.366           0.527         
 57146.5106541   1.926           0.655         
 57146.5711558   0.654           0.845         
 57146.5721419   2.399           0.474         
