!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 56659.3810745   0.911           -0.283        
 56659.3891191   2.468           -1.001        
 56660.460783    2.884           -1.411        
 56660.4693129   2.558           -1.156        
 56661.4767397   0.82            -0.323        
 56663.4663735   0.711           -0.317        
 56664.3910591   2.379           -1.334        
 56665.8835317   -1.412          0.188         
 56666.4607555   -1.497          0.056         
 56667.4097735   -2.131          -0.247        
 56667.4891358   -1.788          -0.579        
 56667.4976778   -2.248          -0.068        
 56672.4413665   4.004           -3.085        
 56674.404316    4.653           -3.397        
 56674.4128554   3.726           -3.1          
 56675.4324536   3.838           -3.122        
 56681.4718568   5.05            -3.464        
 56681.480374    4.044           -3.192        
 56684.4606971   4.025           -2.789        
 56684.4620729   1.84            -1.512        
 56685.4969845   2.203           -1.375        
 56685.4982538   5.183           -3.441        
 56688.4741234   4.524           -3.214        
 56688.4826411   3.509           -3.047        
 56688.5241951   1.934           -1.402        
 56688.5277536   1.523           -1.454        
 56689.4579663   3.711           -3.102        
 56691.4335977   1.867           -1.388        
 56692.4616236   3.605           -2.964        
 56694.5169921   2.143           -1.428        
 56694.5179677   4.886           -3.368        
 56694.5399204   1.619           -1.434        
 56695.5131548   4.77            -3.31         
 56695.5216571   3.786           -3.091        
 56697.4664758   1.919           -1.57         
 56697.4674575   4.554           -3.871        
 56700.4563629   2.06            -1.279        
 56702.4713107   4.885           -2.801        
 56702.4798398   3.931           -2.594        
 56703.449875    3.827           -2.34         
 56704.4439555   2.222           -1.121        
 56709.493431    4.74            -2.86         
 56709.5019461   3.897           -2.453        
 56712.5072632   1.508           -1.268        
 56712.5268285   3.75            -2.678        
 56715.4909582   1.993           -1.15         
 56715.491939    4.466           -2.878        
 56716.4879618   4.712           -2.958        
 56716.4964879   3.671           -2.721        
 56716.5352162   3.695           -2.609        
 56718.5767612   2.032           -1.155        
 56721.525324    2.061           -1.087        
 56721.5333469   3.873           -2.364        
 56721.5347213   1.668           -1.204        
 56723.4997123   4.724           -2.842        
 56723.5082526   3.725           -2.452        
 56724.4730285   1.808           -1.154        
 56724.4765633   3.518           -2.568        
 56727.6107028   3.71            -2.059        
 56728.5099859   3.756           -2.136        
 56729.4813665   2.002           -1.149        
 56729.489409    1.611           -1.079        
 56730.5077912   4.788           -2.81         
 56730.5163042   3.944           -2.381        
 56734.4620264   1.63            -1.266        
 56737.5098161   5.19            -2.888        
 56737.5183659   4.162           -2.503        
 56737.7322403   4.895           -2.662        
 56737.7339028   7.024           -0.84         
 56737.7481153   3.237           -0.873        
 56737.7489214   6.361           -1.864        
 56737.7499658   3.968           -2.422        
 56737.7513406   1.775           -1.196        
 56740.4678267   1.849           -1.062        
 56740.4758577   1.545           -1.258        
 56744.4971205   4.956           -2.666        
 56744.5056343   4.074           -2.327        
 56744.5404637   2.106           -1.069        
 56745.4874215   4.114           -2.16         
 56746.4801953   1.74            -1.101        
 56749.5291681   3.971           -2.523        
 56750.4981976   1.739           -1.24         
 56751.4944893   4.637           -2.8          
 56751.5030115   3.747           -2.527        
 56758.5097895   5.28            -2.883        
 56759.5080615   1.654           -1.201        
 56759.5090442   3.874           -2.5          
 56759.7569365   3.694           -2.282        
 56762.5536469   1.673           -1.332        
 56762.5546255   3.892           -2.551        
 56765.535515    5.168           -2.888        
 56765.544065    4.103           -2.545        
 56765.5788876   4.0             -2.334        
 56766.5331439   1.751           -1.224        
 56768.5365346   3.903           -2.732        
 56769.6219191   1.777           -1.27         
 56769.6229032   4.139           -2.531        
 56771.4874437   2.007           -0.966        
 56772.522546    4.897           -2.693        
 56772.5310923   3.947           -2.437        
 56772.5945606   1.773           -1.086        
 56772.595535    3.921           -2.425        
 56774.4849155   2.174           -1.024        
 56775.4786068   4.096           -2.456        
 56775.4799827   1.754           -1.169        
 56777.5269702   1.92            -1.012        
 56779.5089191   4.363           -2.787        
 56779.5174374   3.38            -2.355        
 56779.5697304   3.431           -2.461        
 56779.5711014   1.517           -1.087        
 56782.5048036   3.023           -2.284        
 56782.5061847   1.262           -1.038        
 56785.7200859   3.127           -2.334        
 56786.5022942   4.787           -3.067        
 56786.5108135   3.92            -2.599        
 56786.5682732   1.617           -1.255        
 56789.5043065   1.661           -1.029        
 56789.5052829   3.76            -2.422        
 56789.6896746   1.671           -1.097        
 56789.6906597   3.796           -2.328        
 56792.4846619   3.757           -2.578        
 56793.5387855   4.877           -2.898        
 56793.5473247   3.799           -2.751        
 56803.5144531   3.64            -2.412        
 56803.5229764   2.573           -2.246        
 56803.62104     2.474           -2.224        
 56803.6224191   0.956           -1.035        
 56804.5135673   1.533           -1.003        
 56806.5405664   1.643           -1.311        
 56806.5415455   3.74            -2.664        
 56808.5401459   1.981           -1.12         
 56809.5477608   3.516           -2.764        
 56810.5420496   4.453           -2.651        
 56810.5507809   3.04            -2.563        
 56811.4686362   1.3             -1.131        
 56812.5685606   3.739           -2.713        
 56813.5467166   1.794           -0.98         
 56817.5061681   3.83            -2.565        
 56817.514669    2.996           -2.34         
 56824.4720775   4.196           -2.847        
 56824.4805738   3.24            -2.514        
 56826.7481735   1.473           -1.247        
 56826.7491501   3.52            -2.829        
 56828.5284373   1.644           -1.448        
 56829.4982385   2.118           -1.205        
 56831.5424701   4.472           -2.934        
 56831.5509618   3.752           -2.628        
 56831.6121253   3.797           -2.457        
 56833.502004    6.013           -2.422        
 56833.503063    1.53            -1.307        
 56834.4745153   3.528           -2.696        
 56836.4780453   1.504           -1.351        
 56837.5167876   1.817           -1.221        
 56838.54157     4.482           -3.072        
 56838.5500593   3.634           -2.805        
 56839.5899353   3.717           -2.777        
 56839.5913038   1.628           -1.286        
 56842.4611593   3.514           -0.814        
 56842.6317826   3.496           -0.79         
 56842.6385143   1.393           -1.188        
 56844.5185932   3.502           -0.825        
 56845.5335951   4.087           -2.856        
 56845.5422667   3.27            -2.646        
 56845.585193    3.383           -0.738        
 56846.5025478   1.56            -1.347        
 56848.5344085   3.732           -2.733        
 56850.4950803   1.635           -1.313        
 56852.5412034   4.478           -3.073        
 56852.5496988   3.307           -2.895        
 56858.5345911   3.863           -2.954        
 56858.5362476   1.733           -1.444        
 56859.5304456   4.968           -3.085        
 56859.5389124   3.978           -2.776        
 56860.5334427   2.108           -1.29         
 56860.6820635   1.991           -1.237        
 56861.4994909   3.644           -2.833        
 56861.5008621   1.617           -1.342        
 56864.5416756   1.441           -1.392        
 56865.4683345   3.511           -2.874        
 56866.5309948   4.348           -2.898        
 56866.53966     3.359           -2.812        
 56868.5193056   1.674           -1.189        
 56868.5273431   3.251           -2.709        
 56868.5287267   1.286           -1.234        
 56871.4902309   1.738           -1.314        
 56872.4781288   1.481           -1.37         
 56873.5307669   4.295           -3.013        
 56873.5392736   3.412           -2.731        
 56874.5152699   4.677           -3.001        
 56874.5239533   3.821           -2.93         
 56874.5874345   2.068           -1.217        
 56874.5966166   3.818           -2.892        
 56875.5458834   4.751           -3.069        
 56875.5543852   3.75            -3.01         
 56877.4974484   1.594           -1.398        
 56878.5142783   2.042           -1.233        
 56879.4911194   3.705           -2.814        
 56882.5142095   4.509           -2.997        
 56882.5227507   3.543           -2.743        
 56882.5627022   3.619           -2.859        
 56885.5043252   1.908           -1.208        
 56885.5123872   3.712           -2.721        
 56888.5007829   1.572           -1.551        
 56889.5043909   4.614           -3.063        
 56889.5129167   3.553           -2.853        
 56889.5462051   1.881           -1.065        
 56890.4940817   3.56            -2.948        
 56893.5014741   1.626           -1.386        
 56896.4992482   4.688           -2.933        
 56896.5077847   3.882           -2.701        
 56896.5486458   4.65            -2.772        
 56897.4771831   3.873           -2.743        
 56899.4816437   2.04            -1.158        
 56901.4886676   3.84            -2.93         
 56903.5074742   4.67            -3.126        
 56903.5159625   3.911           -2.921        
 56903.5657249   1.876           -1.16         
 56906.5918799   1.899           -1.239        
 56906.600074    2.872           -3.224        
 56910.5180024   4.651           -3.026        
 56910.5265224   3.637           -2.937        
 56914.3896777   4.612           -3.022        
 56915.4272025   3.311           -2.817        
 56917.4444364   4.662           -3.015        
 56917.453071    3.71            -2.904        
 56919.4324271   1.637           -1.371        
 56920.4879851   4.159           -2.982        
 56921.5766235   3.415           -2.708        
 56923.4820581   5.014           -2.734        
 56924.5121292   4.837           -2.524        
 56924.5250903   4.029           -2.239        
 56925.4184647   3.957           -2.286        
 56925.4975596   2.08            -1.02         
 56925.5055924   1.671           -1.123        
 56926.5011773   4.756           -2.688        
 56927.4292227   4.904           -2.658        
 56927.5139447   1.992           -1.054        
 56927.5219908   3.725           -2.46         
 56929.4834398   2.025           -1.025        
 56929.4844158   4.725           -2.724        
 56931.4806801   4.574           -2.706        
 56931.4893083   3.797           -2.5          
 56931.5262631   3.657           -2.392        
 56936.5301732   4.462           -2.53         
 56936.5403036   3.526           -2.465        
 56936.5416788   1.558           -1.165        
 56937.4354753   1.887           -0.996        
 56938.489035    4.466           -2.659        
 56938.4975058   3.87            -2.478        
 56939.4687397   3.852           -2.432        
 56940.4773064   4.646           -2.551        
 56942.4471034   3.248           -2.406        
 56943.4567064   4.468           -2.939        
 56945.499761    4.133           -3.247        
 56945.5082595   3.638           -2.828        
 56949.4663995   2.076           -1.121        
 56949.4801355   3.946           -2.814        
 56951.4411552   1.53            -1.309        
 56952.4197907   4.38            -2.853        
 56952.4283071   3.489           -2.647        
 56954.4699499   6.028           -2.299        
 56954.4709958   1.554           -1.269        
 56954.4719797   3.627           -2.569        
 56956.4376725   2.003           -1.184        
 56958.456881    3.768           -2.702        
 56959.4887947   4.575           -2.952        
 56959.4972997   3.909           -2.621        
 56959.5346124   4.647           -2.889        
 56965.4438801   4.66            -3.074        
 56965.4540652   3.687           -2.904        
 56966.4779464   4.164           -3.284        
 56966.4864573   3.773           -3.073        
 56973.4780406   4.752           -3.021        
 56973.4865455   3.841           -2.997        
 56977.4374256   3.693           -2.788        
 56978.4054953   3.685           -2.862        
 56978.4542817   1.884           -1.252        
 56979.4506788   1.639           -1.354        
 56980.4461138   4.829           -3.011        
 56980.4546085   3.882           -2.832        
 56981.4132532   2.108           -1.198        
 56982.3114065   6.071           -2.175        
 56983.4332641   4.621           -2.986        
 56983.4444889   3.668           -2.856        
 56984.4115127   1.924           -1.333        
 56984.4198264   1.543           -1.43         
 56987.3881244   3.807           -2.686        
 56987.4669421   4.701           -2.928        
 56987.4754629   3.742           -2.724        
 56987.5113117   1.998           -1.146        
 56990.4196971   1.863           -1.226        
 56994.4582047   4.017           -2.813        
 56994.4667107   3.35            -2.709        
 56994.500477    2.932           -3.045        
 56999.4381537   1.77            -1.13         
 56999.4464678   3.424           -2.791        
 57001.4072983   4.368           -2.794        
 57001.4157947   3.521           -2.749        
 57001.4458104   4.541           -2.901        
 57003.4109964   3.534           -2.829        
 57004.4094281   3.593           -2.895        
 57005.4059963   3.688           -2.825        
 57005.4913815   4.411           -2.805        
 57008.4497929   4.623           -3.234        
 57008.4585479   3.386           -2.872        
 57010.3968682   3.645           -2.713        
 57010.4574731   1.557           -1.331        
 57012.4501927   4.511           -2.943        
 57013.4531749   3.592           -2.514        
 57015.4314553   2.936           -3.103        
 57015.5224806   4.409           -2.919        
 57015.5310001   3.549           -2.773        
 57015.5711224   1.52            -1.288        
 57018.4380109   3.459           -2.847        
 57018.439387    1.414           -1.351        
 57022.454963    4.555           -3.077        
 57022.4634752   3.642           -3.002        
 57024.3971667   3.753           -2.874        
 57025.4165435   3.591           -2.912        
 57029.4714712   4.089           -3.096        
 57029.479996    3.538           -2.983        
 57035.4480935   3.564           -2.959        
 57036.4167758   4.427           -2.987        
 57036.4252928   3.521           -2.932        
 57036.4591855   4.217           -3.003        
 57038.431946    1.39            -1.415        
 57041.4333026   1.504           -1.423        
 57042.4468512   4.232           -3.217        
 57043.49561     4.042           -3.125        
 57043.5041458   3.422           -2.821        
 57047.4716058   1.468           -1.397        
 57047.4725867   3.501           -2.993        
 57050.4401831   4.399           -3.106        
