,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
0,HD79186,09:11:04.41,-44:52:04.4,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-11-16T08:02:13.079,Nov 16 2015,UVES_dic2_obs_exp,2014-11-16T07:56:36,15.001,,,"FREE,HER_5",56977.334874,1.194,1.18
1,HD113904,13:08:07.30,-65:18:23.0,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-21T08:43:06.907,Dec 21 2015,UVES_dic2_obs_exp,2014-12-21T08:20:04,20.001,,,"FREE,HER_5",57012.363274,1.568,1.2
2,HD40111,05:57:59.62,+25:57:14.8,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-14T05:55:11.601,Dec 14 2015,UVES_dic2_obs_exp,2014-12-14T05:44:55,7.999,,,"FREE,OG590",57005.246662,1.613,0.88
3,HD113904,13:08:07.25,-65:18:22.5,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-14T08:04:19.900,Dec 14 2015,UVES_dic1_obs_exp,2014-12-14T07:39:25,30.001,,,"FREE,HER_5",57005.336341,1.825,-1.0
4,HD93030,10:42:57.29,-64:23:39.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-10T05:40:23.188,Dec 10 2015,UVES_dic1_obs_exp,2014-12-10T05:35:34,1.501,,,"FREE,HER_5",57001.236379,1.893,1.22
5,HD93030,10:42:57.29,-64:23:39.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-10T06:20:07.314,Dec 10 2015,UVES_dic2_obs_exp,2014-12-10T06:03:50,1.201,,,"FREE,HER_5",57001.263974,1.699,-1.0
6,HD170740,18:31:25.71,-10:47:46.4,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-15T03:06:42.864,Sep 15 2015,UVES_dic2_obs_exp,2014-09-15T02:50:39,30.001,,,"FREE,HER_5",56915.129663,1.595,-1.0
7,HD170740,18:31:25.70,-10:47:46.3,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-16T03:16:29.862,Sep 16 2015,UVES_dic2_obs_exp,2014-09-16T03:15:06,17.999,,,"FREE,OG590",56916.136457,1.714,-1.0
8,HD148605,16:30:12.52,-25:06:55.7,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-19T00:53:56.541,Sep 19 2015,UVES_dic2_obs_exp,2014-09-19T00:53:32,9.0,,,"FREE,HER_5",56919.03746,1.489,0.95
9,HD23016,03:42:18.92,+19:42:00.3,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-23T07:06:01.740,Sep 23 2015,UVES_dic1_obs_exp,2014-09-23T07:03:10,35.999,,,"FREE,SHP700",56923.295853,1.481,0.76
