,file_name,wave_setting,MJD-OBS,path
0,UVES.2014-09-14T09_36_10.214.fits,346,56914.400118225,EDIBLES_raw_all/UVES.2014-09-14T09_36_10.214.fits
1,UVES.2014-09-17T11_25_54.592.fits,346,56917.476326305,EDIBLES_raw_all/UVES.2014-09-17T11_25_54.592.fits
2,UVES.2014-09-20T12_49_30.188.fits,346,56920.534377181,EDIBLES_raw_all/UVES.2014-09-20T12_49_30.188.fits
3,UVES.2014-09-23T12_36_18.393.fits,346,56923.525212885,EDIBLES_raw_all/UVES.2014-09-23T12_36_18.393.fits
4,UVES.2014-09-24T13_32_51.779.fits,346,56924.56448818,EDIBLES_raw_all/UVES.2014-09-24T13_32_51.779.fits
5,UVES.2014-09-26T13_41_47.829.fits,346,56926.570692473,EDIBLES_raw_all/UVES.2014-09-26T13_41_47.829.fits
6,UVES.2014-09-27T13_29_40.187.fits,346,56927.562270677,EDIBLES_raw_all/UVES.2014-09-27T13_29_40.187.fits
7,UVES.2014-09-29T12_31_18.992.fits,346,56929.521747595,EDIBLES_raw_all/UVES.2014-09-29T12_31_18.992.fits
8,UVES.2014-10-01T12_18_06.981.fits,346,56931.512580797,EDIBLES_raw_all/UVES.2014-10-01T12_18_06.981.fits
9,UVES.2014-10-06T14_17_59.684.fits,346,56936.595829681,EDIBLES_raw_all/UVES.2014-10-06T14_17_59.684.fits
10,UVES.2014-10-08T12_29_43.204.fits,346,56938.520638931,EDIBLES_raw_all/UVES.2014-10-08T12_29_43.204.fits
11,UVES.2014-10-10T12_04_08.609.fits,346,56940.502877421,EDIBLES_raw_all/UVES.2014-10-10T12_04_08.609.fits
12,UVES.2014-10-13T11_27_03.406.fits,346,56943.477122763,EDIBLES_raw_all/UVES.2014-10-13T11_27_03.406.fits
13,UVES.2014-10-15T12_45_27.570.fits,346,56945.531569104,EDIBLES_raw_all/UVES.2014-10-15T12_45_27.570.fits
14,UVES.2014-10-29T12_29_42.245.fits,346,56959.520627826,EDIBLES_raw_all/UVES.2014-10-29T12_29_42.245.fits
15,UVES.2014-10-29T13_08_18.406.fits,346,56959.547435259,EDIBLES_raw_all/UVES.2014-10-29T13_08_18.406.fits
16,UVES.2014-11-04T11_07_18.995.fits,346,56965.463414292,EDIBLES_raw_all/UVES.2014-11-04T11_07_18.995.fits
17,UVES.2014-11-05T12_14_06.768.fits,346,56966.509800555,EDIBLES_raw_all/UVES.2014-11-05T12_14_06.768.fits
18,UVES.2014-11-22T11_06_09.558.fits,346,56983.462610634,EDIBLES_raw_all/UVES.2014-11-22T11_06_09.558.fits
19,UVES.2014-12-10T10_32_16.493.fits,346,57001.439079781,EDIBLES_raw_all/UVES.2014-12-10T10_32_16.493.fits
20,UVES.2014-12-14T12_31_37.453.fits,346,57005.521961259,EDIBLES_raw_all/UVES.2014-12-14T12_31_37.453.fits
21,UVES.2014-12-17T11_33_47.290.fits,346,57008.481797341,EDIBLES_raw_all/UVES.2014-12-17T11_33_47.290.fits
22,UVES.2014-12-21T12_56_10.821.fits,346,57012.539014127,EDIBLES_raw_all/UVES.2014-12-21T12_56_10.821.fits
