,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
0,"LAMP,FLAT",23:19:01.60,-05:15:59.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-06-29T19:33:07.745,Jun 29 2018,UVES_dic2_cal_flatfree,2018-06-29T19:31:11,80.98,,,"FREE,OG590",58298.814673,1.0,3.25
1, ,23:19:01.60,-05:15:59.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-06-29T19:35:37.719,Jun 29 2018,UVES_dic2_cal_flatfree,2018-06-29T19:31:11,80.98,,,"FREE,OG590",58298.816409,1.0,3.25
2, ,23:19:01.60,-05:15:59.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-06-29T19:38:07.723,Jun 29 2018,UVES_dic2_cal_flatfree,2018-06-29T19:31:11,80.98,,,"FREE,OG590",58298.818145,1.0,3.25
3, ,23:19:01.60,-05:15:59.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-06-29T19:40:37.727,Jun 29 2018,UVES_dic2_cal_flatfree,2018-06-29T19:31:11,80.98,,,"FREE,OG590",58298.819881,1.0,3.25
4, ,23:19:01.60,-05:15:59.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-06-29T19:43:07.730,Jun 29 2018,UVES_dic2_cal_flatfree,2018-06-29T19:31:11,80.982,,,"FREE,OG590",58298.821617,1.0,3.25
5,"LAMP,FLAT",08:40:47.61,-32:52:33.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-02T12:06:46.527,Feb  2 2018,UVES_dic2_cal_flatfree,2018-02-02T12:05:39,80.98,,,"FREE,OG590",58151.504705,1.0,0.66
6, ,08:40:47.61,-32:52:33.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-02T12:09:16.041,Feb  2 2018,UVES_dic2_cal_flatfree,2018-02-02T12:05:39,80.98,,,"FREE,OG590",58151.506436,1.0,0.66
7, ,08:40:47.61,-32:52:33.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-02T12:11:45.046,Feb  2 2018,UVES_dic2_cal_flatfree,2018-02-02T12:05:39,80.98,,,"FREE,OG590",58151.50816,1.0,0.66
8, ,08:40:47.61,-32:52:33.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-02T12:14:15.051,Feb  2 2018,UVES_dic2_cal_flatfree,2018-02-02T12:05:39,80.98,,,"FREE,OG590",58151.509896,1.0,0.66
9, ,08:40:47.61,-32:52:33.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-02T12:16:45.065,Feb  2 2018,UVES_dic2_cal_flatfree,2018-02-02T12:05:39,80.98,,,"FREE,OG590",58151.511633,1.0,0.66
10,"LAMP,FLAT",16:22:21.17,-39:11:31.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-16T11:36:33.369,Feb 16 2018,UVES_dic2_cal_flatfree,2018-02-16T11:35:26,80.98,,,"FREE,OG590",58165.48372,1.0,0.51
11, ,16:22:21.17,-39:11:31.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-16T11:39:02.974,Feb 16 2018,UVES_dic2_cal_flatfree,2018-02-16T11:35:26,80.98,,,"FREE,OG590",58165.485451,1.0,0.51
12, ,16:22:21.17,-39:11:31.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-16T11:41:32.969,Feb 16 2018,UVES_dic2_cal_flatfree,2018-02-16T11:35:26,80.98,,,"FREE,OG590",58165.487187,1.0,0.51
13, ,16:22:21.17,-39:11:31.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-16T11:44:02.983,Feb 16 2018,UVES_dic2_cal_flatfree,2018-02-16T11:35:26,80.98,,,"FREE,OG590",58165.488923,1.0,0.51
14, ,16:22:21.17,-39:11:31.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-16T11:46:32.938,Feb 16 2018,UVES_dic2_cal_flatfree,2018-02-16T11:35:26,80.98,,,"FREE,OG590",58165.490659,1.0,0.51
15,"LAMP,FLAT",12:40:57.36,+17:37:22.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-12T12:39:56.245,Feb 12 2018,UVES_dic2_cal_flatfree,2018-02-12T12:39:07,80.98,,,"FREE,OG590",58161.527734,1.0,0.43
16, ,12:40:57.36,+17:37:22.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-12T12:42:25.750,Feb 12 2018,UVES_dic2_cal_flatfree,2018-02-12T12:39:07,80.98,,,"FREE,OG590",58161.529465,1.0,0.43
