
OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
"LAMP,FLAT",08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T11:18:45.411,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T11:16:49,    16.000,,,"FREE,OG590",56660.471359,1.000,-1.00
 ,08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T11:20:09.199,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T11:16:49,    16.000,,,"FREE,OG590",56660.472329,1.000,-1.00
 ,08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T11:21:34.137,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T11:16:49,    16.000,,,"FREE,OG590",56660.473312,1.000,-1.00
 ,08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T11:22:59.155,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T11:16:49,    16.000,,,"FREE,OG590",56660.474296,1.000,-1.00
 ,08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T11:24:24.104,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T11:16:49,    15.999,,,"FREE,OG590",56660.475279,1.000,-1.00
"LAMP,FLAT",08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T12:26:59.463,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T12:26:10,    15.770,,,"FREE,OG590",56660.518744,1.000,-1.00
 ,08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T12:28:24.111,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T12:26:10,    15.770,,,"FREE,OG590",56660.519724,1.000,-1.00
 ,08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T12:29:48.189,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T12:26:10,    15.769,,,"FREE,OG590",56660.520697,1.000,-1.00
 ,08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T12:31:12.177,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T12:26:10,    15.769,,,"FREE,OG590",56660.521669,1.000,-1.00
 ,08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T12:32:36.696,Jan  3 2014,UVES_dic2_cal_flatfree,2014-01-03T12:26:10,    15.769,,,"FREE,OG590",56660.522647,1.000,-1.00
