
OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
HD79186,09:11:04.41,-44:52:04.4,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-11-16T08:02:13.079,Nov 16 2015,UVES_dic2_obs_exp,2014-11-16T07:56:36,    15.001,,,"FREE,HER_5",56977.334874,1.194,1.18
HD79186,09:11:04.41,-44:52:04.4,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-11-16T08:07:01.825,Nov 16 2015,UVES_dic2_obs_exp,2014-11-16T07:56:36,     9.999,,,"FREE,OG590",56977.338216,1.184,1.28
HD79186,09:11:04.41,-44:52:04.4,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-11-16T08:05:24.455,Nov 16 2015,UVES_dic2_obs_exp,2014-11-16T07:56:36,    15.001,,,"FREE,HER_5",56977.337089,1.187,1.22
HD113904,13:08:07.30,-65:18:23.0,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-21T08:43:06.907,Dec 21 2015,UVES_dic2_obs_exp,2014-12-21T08:20:04,    20.001,,,"FREE,HER_5",57012.363274,1.568,1.20
HD40111,05:57:59.62,+25:57:14.8,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-14T05:55:11.601,Dec 14 2015,UVES_dic2_obs_exp,2014-12-14T05:44:55,     7.999,,,"FREE,OG590",57005.246662,1.613,0.88
HD113904,13:08:07.25,-65:18:22.5,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-14T08:04:19.900,Dec 14 2015,UVES_dic1_obs_exp,2014-12-14T07:39:25,    30.001,,,"FREE,HER_5",57005.336341,1.825,-1.00
HD79186,09:11:04.41,-44:52:04.4,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-11-16T08:02:51.204,Nov 16 2015,UVES_dic2_obs_exp,2014-11-16T07:56:36,     9.999,,,"FREE,OG590",56977.335315,1.192,1.18
HD93030,10:42:57.29,-64:23:39.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-10T05:40:23.188,Dec 10 2015,UVES_dic1_obs_exp,2014-12-10T05:35:34,     1.501,,,"FREE,HER_5",57001.236379,1.893,1.22
HD93030,10:42:57.29,-64:23:39.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-10T05:41:27.443,Dec 10 2015,UVES_dic1_obs_exp,2014-12-10T05:35:34,     2.498,,,"FREE,SHP700",57001.237123,1.886,1.02
HD93030,10:42:57.29,-64:23:39.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-10T06:20:07.314,Dec 10 2015,UVES_dic2_obs_exp,2014-12-10T06:03:50,     1.201,,,"FREE,HER_5",57001.263974,1.699,-1.00
